id,title,url,themes,registrations_count,organization_name
22102,Microsoft Fabric and AI Learning Hackathon,https://microsoftfabric.devpost.com/,"Beginner Friendly, Databases, Machine Learning/AI",3991,Microsoft
22235,Student Hacks,https://student-hacks-.devpost.com/,"Beginner Friendly, Machine Learning/AI, Social Good",365,Student Hacks
21351,SFHacks Code Jams 2024,https://sfhacks-code-jams-2024.devpost.com/,Beginner Friendly,27,SF Hacks
20768,HACK.COMS '24,https://hack-coms-24.devpost.com/,"Beginner Friendly, Design, Web",72,Computing Org for Multicultural Students
22840,Eclipse Hacks,https://eclipsehacks.devpost.com/,"Beginner Friendly, Machine Learning/AI, Social Good",17,Eclipse Hacks
22006,CodeQuest '25,https://codequest-25.devpost.com/,"Beginner Friendly, Machine Learning/AI, Productivity",5,Yash Kulkarni
21888,Global Hack Week: AI/ML,https://global-hack-week-ai-ml-21888.devpost.com/,"Beginner Friendly, Machine Learning/AI, Open Ended",384,Major League Hacking
21933,Cascade Hacks,https://cascadehacks.devpost.com/,"Beginner Friendly, Social Good",52,CascadeSTEM
9722,COVID-19 Global Hackathon 1.0,https://covid-global-hackathon.devpost.com/,COVID-19,18616,"Devpost, Inc."
19854,Global Gamers Challenge,https://globalgamers.devpost.com/,"Design, Gaming, Social Good",3499,Google
16059,AWS Health AI Hackathon,https://awshealthai.devpost.com/,"Health, Machine Learning/AI, Social Good",2335,Amazon
13182,AWS Deep Learning Challenge,https://amazon-ec2-dl1.devpost.com/,"DevOps, Machine Learning/AI, Open Ended",1717,Amazon
12998,Codegeist 2021,https://codegeist2021.devpost.com/,"DevOps, Enterprise, Productivity",1424,Atlassian
10904,monday.com Apps Marketplace Challenge: solutions for teams ,https://mondayapps.devpost.com/,Productivity,1244,Monday.com
15572,DocuSign Good Code Hackathon,https://docusign2022.devpost.com/,"Mobile, Open Ended, Social Good",1107,DocuSign
11362,Natural Language & Text Analytics API Hackathon,https://expertai-nlapi-012021.devpost.com/,"Machine Learning/AI, Communication",972,Expert.ai
8008,Power Up Automation,https://uipath2019.devpost.com/,"Machine Learning/AI, Productivity, Social Good",855,UiPath
10207,"Physically Apart, Virtually Connected",https://corvidbywix.devpost.com/,"Social Good, COVID-19",774,Wix
4127,Junction 2016,https://junction2016.devpost.com/,Beginner Friendly,1005,"Devpost, Inc."
18840,Health Tech Innovators,https://regeneron.devpost.com/,"Health, Social Good, Machine Learning/AI",627,Regeneron
3877,Atlassian Codegeist 2016,https://codegeist2016.devpost.com/,"DevOps, Communication, Productivity",906,Atlassian
5418,Hack the North 2023,https://hackthenorth2023.devpost.com/,"Beginner Friendly, Open Ended",870,Techyon
14660,Build the Galaxy's Best Checkout,https://hackthegalaxy.devpost.com/,"E-commerce/Retail, Enterprise, Fintech",493,Rapyd
15712,Ripple CBDC Innovate 2022 ,https://ripplecbdc2022.devpost.com/,"Blockchain, Fintech, Social Good",469,Ripple
10255,Virtual Hacks 2020,https://virtualhacks.devpost.com/,"Machine Learning/AI, Productivity, COVID-19",731,FaceDrive
13195,The 6-week Smart Contract Hackathon,https://smartcontracts.devpost.com/,"Beginner Friendly, Blockchain, Fintech",420,Digital Asset and SE2
9724,LA Hacks 2020,https://la-hacks-2020.devpost.com/,Beginner Friendly,680,"Devpost, Inc."
17282,Microsoft Code; Without Barriers Hackathon 2023,https://cwb2023.devpost.com/,"Machine Learning/AI, Cybersecurity, Low/No Code",762,Girls in Tech
10526,HackZurich 2020,https://hackzurich2020.devpost.com/,Beginner Friendly,627,"Devpost, Inc."
21150,LA Hacks 2024,https://la-hacks-2024.devpost.com/,Beginner Friendly,706,LA Hacks
10447,Cosmos HackAtom V,https://hackatomv.devpost.com/,"Blockchain, DevOps, Fintech",323,Tendermint
1356,PennApps X,https://pennappsx.devpost.com/,Beginner Friendly,568,"Devpost, Inc."
9590,Spark + AI Summit 2020 Hackathon for Social Good ,https://data-teams-unite.devpost.com/,"Social Good, COVID-19",555,Databricks
11385,The CUNY Hackathon 2021,https://the-cuny-hackathon-2021.devpost.com/,Beginner Friendly,637,"Devpost, Inc."
400,VA Medical Appointment Scheduling Contest,https://vascheduling.devpost.com/,Beginner Friendly,523,"Devpost, Inc."
9211,nwHacks 2020,https://nwhacks2020.devpost.com/,Beginner Friendly,500,"Devpost, Inc."
21250,Next Top Blockchain Startup,https://topblockchainstartup2024.devpost.com/,"Blockchain, Cybersecurity, Enterprise",581,GDA Capital
17326,TAMUhack 2023,https://tamuhack-2023.devpost.com/,"Beginner Friendly, Design, Open Ended",567,TAMUhack
2856,SV Hacks! - Ideas Come To Life,https://svhacks.devpost.com/,Beginner Friendly,458,"Devpost, Inc."
6947,HackMIT 2018,https://hackmit-2018.devpost.com/,Beginner Friendly,445,"Devpost, Inc."
17257,ConUHacks VII,https://conuhacks-vii.devpost.com/,Open Ended,524,HackConcordia
15733,Technica 2022,https://technica2022.devpost.com/,"Beginner Friendly, Machine Learning/AI, Open Ended",507,"University of Maryland, College Park"
1529,YHack 2014,https://yhack2014.devpost.com/,Beginner Friendly,410,"Devpost, Inc."
20177,SpartaHack 9,https://spartahack-9.devpost.com/,"Beginner Friendly, Machine Learning/AI, Social Good",486,SpartaHack
1390,WildHacks 2014,https://wildhacks2014.devpost.com/,Beginner Friendly,390,"Devpost, Inc."
9124,NaijaHacks 2019,https://naijahacks2019.devpost.com/,"Productivity, Social Good, Cybersecurity",377,"Devpost, Inc."
3684,Bitcamp 2016,https://bitcamp16.devpost.com/,Beginner Friendly,367,"Devpost, Inc."
7401,DeltaHacks V,https://deltahacks5.devpost.com/,Beginner Friendly,356,"Devpost, Inc."
10108,Hack for Africa: A Microsoft Challenge,https://hackforafrica.devpost.com/,"Social Good, COVID-19",349,"Devpost, Inc."
20870,CS Base Climate Hack,https://csbase-climatehack.devpost.com/,"Beginner Friendly, Social Good, Education",424,CS Base
19971,Hack&Roll 2024,https://hacknroll2024.devpost.com/,"Beginner Friendly, Open Ended",416,NUS Hackers
8136,Agora RTC Challenge,https://agorartc2019.devpost.com/,"Machine Learning/AI, Communication",135,Agora
6750,SDHacks2018,https://sdhacks2018.devpost.com/,Beginner Friendly,324,"Devpost, Inc."
10017,COVID-19 Idea Sprint with GovTech Singapore,https://govsg.devpost.com/,"Social Good, COVID-19",320,Singapore Government
12090,SITA Hackathon 2021,https://sitahackathon2021.devpost.com/,"COVID-19, IoT, Machine Learning/AI",313,SITA
14655,VTHacks IX,https://vthacks-ix.devpost.com/,"Beginner Friendly, Machine Learning/AI, Social Good",387,TechHackers at VT
