name,location,currency,price,participants,organizer,period,invite,tags,logo_link,item_id,start_date,end_date
Student Mental Health Hackathon,Online,$,0,7,RaahimFarhan,"Jun 23 - Jul 01, 2023",False,"['Beginner Friendly', 'Gaming', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/514/731/datas/medium_square.png,item-00001,2023-06-23,2023-07-01
Plastic-Free Rivers with AI towards Sustainability,Online,₹,310000,23,REVA University,"Jun 23 - Jul 09, 2023",False,"['Machine Learning/AI', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/513/702/datas/medium_square.png,item-00002,2023-06-23,2023-07-09
InfoCamp,Online,₹,7000,30,Skill Pulse,"Jun 24 - Jul 01, 2023",False,"['Beginner Friendly', 'Communication', 'Mobile']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/512/612/datas/medium_square.png,item-00003,2023-06-24,2023-07-01
Hackspree 1.0,Online,$,0,27,The HackSpree Community,"Jun 17 - Jul 15, 2023",False,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/509/438/datas/medium_square.png,item-00004,2023-06-17,2023-07-15
Young Achievers HackMania,Online,$,1000,70,CDS North,"Jun 16 - 30, 2023",False,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://q9k6x7m8.stackpathcdn.com/assets/defaults/thumbnail-placeholder.gif,item-00005,2023-06-16,2023-06-30
Speed hackathon,Online,₹,800,42,student,"Jun 15 - Aug 25, 2023",False,"['Beginner Friendly', 'Blockchain', 'Machine Learning/AI']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/508/737/datas/medium_square.png,item-00006,2023-06-15,2023-08-25
vsHacks 2023,Online,$CAD,4240,84,vsHacks,"Jun 23 - 28, 2023",True,"['Beginner Friendly', 'Design', 'Open Ended']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/502/309/datas/medium_square.png,item-00007,2023-06-23,2023-06-28
NorCalHacks,Online,$,86372,233,NorCalHacks,"Jun 12 - 29, 2023",False,"['Beginner Friendly', 'Social Good', 'Web']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/507/611/datas/medium_square.png,item-00008,2023-06-12,2023-06-29
Coda's AI at Work Challenge,Online,$,40000,529,Coda,"Jun 13 - Jul 17, 2023",False,"['Low/No Code', 'Machine Learning/AI', 'Productivity']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/501/235/datas/medium_square.png,item-00009,2023-06-13,2023-07-17
AnimalHack 2023,Online,$,0,39,Binnovative,"Jun 10 - Sep 09, 2023",False,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://d112y698adiu2z.cloudfront.net/photos/production/challenge_thumbnails/002/505/615/datas/medium_square.PNG,item-00010,2023-06-10,2023-09-09
